Year,Race,Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,DrivingStyleCluster,DrivingStyle
2024.0,Spain,NOR,McLaren,49.0,SOFT,5.0,3.0,2.0,1.0,77.377,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,50.0,SOFT,6.0,3.0,2.0,1.0,77.94,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,51.0,SOFT,7.0,3.0,2.0,1.0,77.115,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,52.0,SOFT,8.0,3.0,2.0,1.0,77.654,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,53.0,SOFT,9.0,3.0,2.0,1.0,77.914,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,54.0,SOFT,10.0,3.0,2.0,1.0,77.987,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,55.0,SOFT,11.0,3.0,2.0,1.0,78.363,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,56.0,SOFT,12.0,3.0,2.0,1.0,77.627,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,57.0,SOFT,13.0,3.0,2.0,1.0,77.893,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,58.0,SOFT,14.0,3.0,2.0,1.0,78.259,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,59.0,SOFT,15.0,3.0,2.0,1.0,77.945,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,60.0,SOFT,16.0,3.0,2.0,1.0,78.271,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,61.0,SOFT,17.0,3.0,2.0,1.0,77.805,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,62.0,SOFT,18.0,3.0,2.0,1.0,78.08,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,63.0,SOFT,19.0,3.0,2.0,1.0,78.174,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,64.0,SOFT,20.0,3.0,2.0,1.0,78.282,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,65.0,SOFT,21.0,3.0,2.0,1.0,78.773,3.0,Fast & Efficient Driver
2024.0,Spain,NOR,McLaren,66.0,SOFT,22.0,3.0,2.0,1.0,79.682,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,1.0,SOFT,4.0,1.0,4.0,1.0,84.441,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,2.0,SOFT,5.0,1.0,4.0,1.0,80.594,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,3.0,SOFT,6.0,1.0,4.0,1.0,80.421,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,4.0,SOFT,7.0,1.0,4.0,1.0,80.496,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,5.0,SOFT,8.0,1.0,4.0,1.0,81.05,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,6.0,SOFT,9.0,1.0,4.0,1.0,81.2,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,7.0,SOFT,10.0,1.0,4.0,1.0,81.223,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,8.0,SOFT,11.0,1.0,4.0,1.0,81.538,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,9.0,SOFT,12.0,1.0,4.0,1.0,81.207,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,10.0,SOFT,13.0,1.0,4.0,1.0,81.38,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,11.0,SOFT,14.0,1.0,4.0,1.0,81.192,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,12.0,SOFT,15.0,1.0,4.0,1.0,81.505,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,13.0,SOFT,16.0,1.0,4.0,1.0,81.45,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,14.0,SOFT,17.0,1.0,4.0,1.0,81.601,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,15.0,SOFT,18.0,1.0,3.0,1.0,81.977,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,16.0,SOFT,19.0,1.0,4.0,1.0,84.966,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,17.0,MEDIUM,1.0,2.0,7.0,1.0,98.332,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,18.0,MEDIUM,2.0,2.0,7.0,1.0,80.038,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,19.0,MEDIUM,3.0,2.0,6.0,1.0,79.307,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,20.0,MEDIUM,4.0,2.0,6.0,1.0,79.703,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,21.0,MEDIUM,5.0,2.0,6.0,1.0,79.915,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,22.0,MEDIUM,6.0,2.0,5.0,1.0,80.008,3.0,Fast & Efficient Driver
