Driver,TyreLife,LapTimeSeconds
PIA,32.0,98.49350000000001
PIA,33.0,98.288
PIA,34.0,99.292
PIA,35.0,99.215
PIA,36.0,98.644
PIA,37.0,98.7885
PIA,38.0,106.395
PIA,40.0,99.189
PIA,41.0,99.616
RIC,1.0,109.03793333333333
RIC,2.0,93.7285
RIC,3.0,91.965
RIC,4.0,96.05825
RIC,5.0,92.97718181818182
RIC,6.0,93.25409090909092
RIC,7.0,93.15145454545454
RIC,8.0,93.1709090909091
RIC,9.0,93.10227272727273
RIC,10.0,93.7395238095238
RIC,11.0,93.14242105263159
RIC,12.0,93.4918125
RIC,13.0,92.1291875
RIC,14.0,91.9186875
RIC,15.0,92.4436875
RIC,16.0,93.2505
RIC,17.0,92.76376923076924
RIC,18.0,91.60681818181818
RIC,19.0,91.65372727272728
RIC,20.0,91.8262
RIC,21.0,92.38
RIC,22.0,91.97675
RIC,23.0,91.25414285714285
RIC,24.0,88.626
RIC,25.0,88.7445
RIC,26.0,89.31975
RIC,27.0,91.86699999999999
RIC,28.0,91.787
RIC,29.0,91.79849999999999
RIC,30.0,91.8135
RIC,31.0,93.357
RIC,32.0,93.0885
RIC,33.0,92.112
RIC,34.0,91.86949999999999
RIC,35.0,94.223
RIC,36.0,98.1175
RIC,37.0,84.775
RIC,38.0,84.518
RIC,39.0,84.617
RIC,40.0,84.817
RIC,41.0,84.639
RIC,42.0,84.219
RIC,43.0,84.347
RUS,1.0,109.09023809523809
RUS,2.0,94.23816666666666
RUS,3.0,94.16650000000001
RUS,4.0,92.8497
RUS,5.0,92.40409090909091
RUS,6.0,91.49103030303031
RUS,7.0,91.0674375
RUS,8.0,91.61045454545454
RUS,9.0,91.8966875
RUS,10.0,92.44871875
RUS,11.0,91.0583870967742
RUS,12.0,91.77172413793105
RUS,13.0,91.35213793103448
RUS,14.0,90.63862068965517
RUS,15.0,90.07718518518517
RUS,16.0,90.76440740740742
RUS,17.0,89.67404166666667
